,nome_variavel,tipo,qnt_nulos,percent_nulos,cardinalidade
0,ano,int64,0,0.0,2
1,veiculos,int64,0,0.0,24
2,feridos,int64,0,0.0,49
3,ignorados,int64,0,0.0,21
4,ilesos,int64,0,0.0,62
5,br,int64,0,0.0,122
6,feridos_graves,int64,0,0.0,23
7,feridos_leves,int64,0,0.0,44
8,mortos,int64,0,0.0,13
9,pessoas,int64,0,0.0,69
10,id,float64,0,0.0,140922
11,fase_dia,object,0,0.0,4
12,delegacia,object,68,0.05,152
13,regional,object,20,0.01,28
14,longitude,object,0,0.0,79974
15,latitude,object,0,0.0,79995
16,data_inversa,object,0,0.0,731
17,dia_semana,object,0,0.0,7
18,horario,object,0,0.0,1435
19,uf,object,0,0.0,27
20,km,object,0,0.0,8715
21,municipio,object,0,0.0,1925
22,causa_acidente,object,0,0.0,75
23,tipo_acidente,object,0,0.0,17
24,uso_solo,object,0,0.0,2
25,uop,object,158,0.11,400
26,tipo_pista,object,0,0.0,3
27,condicao_metereologica,object,0,0.0,10
28,sentido_via,object,0,0.0,3
29,classificacao_acidente,object,2,0.0,3
30,tracado_via,object,0,0.0,875
